"","season","team","week","season_type","opponent","team_score","opponent_score","team_is_home","team_won","team_point_differential","week_of_last_game_played","bye_week","latest_bye_week_by_season","team_week_first_treated","team_id","season_week_id"
"96",1999,"CHI",9,"REG","GB",14,13,"away",1,1,17,14,16,15,6,9
"97",1999,"CHI",5,"REG","MIN",24,22,"away",1,2,17,14,16,15,6,5
"98",1999,"CHI",7,"REG","TB",3,6,"away",0,-3,17,14,16,15,6,7
"99",1999,"CHI",4,"REG","NO",14,10,"home",1,4,17,14,16,15,6,4
"100",1999,"CHI",8,"REG","WAS",22,48,"away",0,-26,17,14,16,15,6,8
"101",1999,"CHI",16,"REG","LA",12,34,"away",0,-22,17,14,16,15,6,16
"102",1999,"CHI",13,"REG","GB",19,35,"home",0,-16,17,14,16,15,6,13
"103",1999,"CHI",1,"REG","KC",20,17,"home",1,3,17,14,16,15,6,1
"104",1999,"CHI",11,"REG","LAC",23,20,"away",1,3,17,14,16,15,6,11
"105",1999,"CHI",15,"REG","DET",28,10,"home",1,18,17,14,16,15,6,15
"106",1999,"CHI",17,"REG","TB",6,20,"home",0,-14,17,14,16,15,6,17
"107",1999,"CHI",10,"REG","MIN",24,27,"home",0,-3,17,14,16,15,6,10
"108",1999,"CHI",3,"REG","LV",17,24,"away",0,-7,17,14,16,15,6,3
"109",1999,"CHI",12,"REG","DET",17,21,"away",0,-4,17,14,16,15,6,12
"110",1999,"CHI",6,"REG","PHI",16,20,"home",0,-4,17,14,16,15,6,6
"111",1999,"CIN",6,"REG","PIT",3,17,"home",0,-14,17,15,16,16,7,6
"112",1999,"CIN",11,"REG","BAL",31,34,"home",0,-3,17,15,16,16,7,11
"113",1999,"CIN",1,"REG","TEN",35,36,"away",0,-1,17,15,16,16,7,1
"114",1999,"CIN",12,"REG","PIT",27,20,"away",1,7,17,15,16,16,7,12
"115",1999,"CIN",7,"REG","IND",10,31,"away",0,-21,17,15,16,16,7,7
"116",1999,"CIN",17,"REG","JAX",7,24,"away",0,-17,17,15,16,16,7,17
"117",1999,"CIN",14,"REG","CLE",44,28,"home",1,16,17,15,16,16,7,14
"118",1999,"CIN",9,"REG","SEA",20,37,"away",0,-17,17,15,16,16,7,9
"119",1999,"CIN",5,"REG","CLE",18,17,"away",1,1,17,15,16,16,7,5
"120",1999,"CIN",2,"REG","LAC",7,34,"home",0,-27,17,15,16,16,7,2
"121",1999,"CIN",4,"REG","LA",10,38,"home",0,-28,17,15,16,16,7,4
"122",1999,"CIN",10,"REG","TEN",14,24,"home",0,-10,17,15,16,16,7,10
"123",1999,"CIN",16,"REG","BAL",0,22,"away",0,-22,17,15,16,16,7,16
"124",1999,"CIN",3,"REG","CAR",3,27,"away",0,-24,17,15,16,16,7,3
"125",1999,"CIN",8,"REG","JAX",10,41,"home",0,-31,17,15,16,16,7,8
"126",1999,"CIN",13,"REG","SF",44,30,"home",1,14,17,15,16,16,7,13
"127",1999,"DAL",11,"REG","ARI",9,13,"away",0,-4,18,3,16,4,9,11
"128",1999,"DAL",14,"REG","PHI",20,10,"home",1,10,18,3,16,4,9,14
"129",1999,"DAL",17,"REG","NYG",26,18,"home",1,8,18,3,16,4,9,17
"130",1999,"DAL",13,"REG","NE",6,13,"away",0,-7,18,3,16,4,9,13
"131",1999,"DAL",16,"REG","NO",24,31,"away",0,-7,18,3,16,4,9,16
"132",1999,"DAL",1,"REG","WAS",41,35,"away",1,6,18,3,16,4,9,1
"133",1999,"DAL",9,"REG","MIN",17,27,"away",0,-10,18,3,16,4,9,9
"134",1999,"DAL",5,"REG","PHI",10,13,"away",0,-3,18,3,16,4,9,5
"135",1999,"DAL",8,"REG","IND",24,34,"away",0,-10,18,3,16,4,9,8
"136",1999,"DAL",12,"REG","MIA",20,0,"home",1,20,18,3,16,4,9,12
"137",1999,"DAL",15,"REG","NYJ",21,22,"home",0,-1,18,3,16,4,9,15
"138",1999,"DAL",2,"REG","ATL",24,7,"home",1,17,18,3,16,4,9,2
"139",1999,"DAL",6,"REG","NYG",10,13,"away",0,-3,18,3,16,4,9,6
"140",1999,"DAL",7,"REG","WAS",38,20,"home",1,18,18,3,16,4,9,7
"141",1999,"DAL",4,"REG","ARI",35,7,"home",1,28,18,3,16,4,9,4
"142",1999,"DAL",10,"REG","GB",27,13,"home",1,14,18,3,16,4,9,10
"143",1999,"DEN",13,"REG","KC",10,16,"home",0,-6,17,12,16,13,10,13
"144",1999,"DEN",3,"REG","TB",10,13,"away",0,-3,17,12,16,13,10,3
"145",1999,"DEN",17,"REG","LAC",6,12,"home",0,-6,17,12,16,13,10,17
"146",1999,"DEN",5,"REG","LV",16,13,"away",1,3,17,12,16,13,10,5
"147",1999,"DEN",6,"REG","GB",31,10,"home",1,21,17,12,16,13,10,6
"148",1999,"DEN",1,"REG","MIA",21,38,"home",0,-17,17,12,16,13,10,1
"149",1999,"DEN",2,"REG","KC",10,26,"away",0,-16,17,12,16,13,10,2
"150",1999,"DEN",16,"REG","DET",17,7,"away",1,10,17,12,16,13,10,16
"151",1999,"DEN",7,"REG","NE",23,24,"away",0,-1,17,12,16,13,10,7
"152",1999,"DEN",8,"REG","MIN",20,23,"home",0,-3,17,12,16,13,10,8
"153",1999,"DEN",9,"REG","LAC",33,17,"away",1,16,17,12,16,13,10,9
"154",1999,"DEN",14,"REG","JAX",24,27,"away",0,-3,17,12,16,13,10,14
"155",1999,"DEN",11,"REG","LV",27,21,"home",1,6,17,12,16,13,10,11
"156",1999,"DEN",4,"REG","NYJ",13,21,"home",0,-8,17,12,16,13,10,4
"157",1999,"DEN",10,"REG","SEA",17,20,"away",0,-3,17,12,16,13,10,10
"158",1999,"DEN",15,"REG","SEA",36,30,"home",1,6,17,12,16,13,10,15
"159",1999,"DET",3,"REG","KC",21,31,"away",0,-10,18,4,16,5,11,3
"160",1999,"DET",13,"REG","WAS",33,17,"home",1,16,18,4,16,5,11,13
"161",1999,"DET",17,"REG","MIN",17,24,"away",0,-7,18,4,16,5,11,17
"162",1999,"DET",11,"REG","GB",17,26,"away",0,-9,18,4,16,5,11,11
"163",1999,"DET",8,"REG","TB",20,3,"home",1,17,18,4,16,5,11,8
"164",1999,"DET",10,"REG","ARI",19,23,"away",0,-4,18,4,16,5,11,10
"165",1999,"DET",5,"REG","LAC",10,20,"home",0,-10,18,4,16,5,11,5
"166",1999,"DET",7,"REG","CAR",24,9,"away",1,15,18,4,16,5,11,7
"167",1999,"DET",12,"REG","CHI",21,17,"home",1,4,18,4,16,5,11,12
"168",1999,"DET",2,"REG","GB",23,15,"home",1,8,18,4,16,5,11,2
"169",1999,"DET",16,"REG","DEN",7,17,"home",0,-10,18,4,16,5,11,16
"170",1999,"DET",6,"REG","MIN",25,23,"home",1,2,18,4,16,5,11,6
"171",1999,"DET",15,"REG","CHI",10,28,"away",0,-18,18,4,16,5,11,15
"172",1999,"DET",1,"REG","SEA",28,20,"away",1,8,18,4,16,5,11,1
"173",1999,"DET",14,"REG","TB",16,23,"away",0,-7,18,4,16,5,11,14
"174",1999,"DET",9,"REG","LA",31,27,"home",1,4,18,4,16,5,11,9
"175",1999,"GB",14,"REG","CAR",31,33,"home",0,-2,17,4,16,5,12,14
"176",1999,"GB",6,"REG","DEN",10,31,"away",0,-21,17,4,16,5,12,6
"177",1999,"GB",12,"REG","SF",20,3,"away",1,17,17,4,16,5,12,12
"178",1999,"GB",11,"REG","DET",26,17,"home",1,9,17,4,16,5,12,11
"179",1999,"GB",10,"REG","DAL",13,27,"away",0,-14,17,4,16,5,12,10
"180",1999,"GB",7,"REG","LAC",31,3,"away",1,28,17,4,16,5,12,7
"181",1999,"GB",8,"REG","SEA",7,27,"home",0,-20,17,4,16,5,12,8
"182",1999,"GB",13,"REG","CHI",35,19,"away",1,16,17,4,16,5,12,13
"183",1999,"GB",1,"REG","LV",28,24,"home",1,4,17,4,16,5,12,1
"184",1999,"GB",2,"REG","DET",15,23,"away",0,-8,17,4,16,5,12,2
"185",1999,"GB",15,"REG","MIN",20,24,"away",0,-4,17,4,16,5,12,15
"186",1999,"GB",5,"REG","TB",26,23,"home",1,3,17,4,16,5,12,5
"187",1999,"GB",16,"REG","TB",10,29,"away",0,-19,17,4,16,5,12,16
"188",1999,"GB",3,"REG","MIN",23,20,"home",1,3,17,4,16,5,12,3
"189",1999,"GB",9,"REG","CHI",13,14,"home",0,-1,17,4,16,5,12,9
"190",1999,"GB",17,"REG","ARI",49,24,"home",1,25,17,4,16,5,12,17
"191",1999,"IND",13,"REG","MIA",37,34,"away",1,3,19,4,16,5,14,13
"192",1999,"IND",8,"REG","DAL",34,24,"home",1,10,19,4,16,5,14,8
"193",1999,"IND",11,"REG","PHI",44,17,"away",1,27,19,4,16,5,14,11
"194",1999,"IND",5,"REG","MIA",31,34,"home",0,-3,19,4,16,5,14,5
"195",1999,"IND",1,"REG","BUF",31,14,"home",1,17,19,4,16,5,14,1
"196",1999,"IND",17,"REG","BUF",6,31,"away",0,-25,19,4,16,5,14,17
"197",1999,"IND",14,"REG","NE",20,15,"home",1,5,19,4,16,5,14,14
"198",1999,"IND",16,"REG","CLE",29,28,"away",1,1,19,4,16,5,14,16
"199",1999,"IND",2,"REG","NE",28,31,"away",0,-3,19,4,16,5,14,2
"200",1999,"IND",12,"REG","NYJ",13,6,"home",1,7,19,4,16,5,14,12
"201",1999,"IND",7,"REG","CIN",31,10,"home",1,21,19,4,16,5,14,7
"202",1999,"IND",15,"REG","WAS",24,21,"home",1,3,19,4,16,5,14,15
"203",1999,"IND",10,"REG","NYG",27,19,"away",1,8,19,4,16,5,14,10
"204",1999,"IND",6,"REG","NYJ",16,13,"away",1,3,19,4,16,5,14,6
"205",1999,"IND",3,"REG","LAC",27,19,"away",1,8,19,4,16,5,14,3
"206",1999,"IND",9,"REG","KC",25,17,"home",1,8,19,4,16,5,14,9
"207",1999,"JAX",13,"REG","PIT",20,6,"home",1,14,20,7,16,8,15,13
"208",1999,"JAX",14,"REG","DEN",27,24,"home",1,3,20,7,16,8,15,14
"209",1999,"JAX",12,"REG","BAL",30,23,"away",1,7,20,7,16,8,15,12
"210",1999,"JAX",2,"REG","CAR",22,20,"away",1,2,20,7,16,8,15,2
"211",1999,"JAX",17,"REG","CIN",24,7,"home",1,17,20,7,16,8,15,17
"212",1999,"JAX",10,"REG","BAL",6,3,"home",1,3,20,7,16,8,15,10
"213",1999,"JAX",1,"REG","SF",41,3,"home",1,38,20,7,16,8,15,1
"214",1999,"JAX",4,"REG","PIT",17,3,"away",1,14,20,7,16,8,15,4
"215",1999,"JAX",5,"REG","NYJ",16,6,"away",1,10,20,7,16,8,15,5
"216",1999,"JAX",6,"REG","CLE",24,7,"home",1,17,20,7,16,8,15,6
"217",1999,"JAX",3,"REG","TEN",19,20,"home",0,-1,20,7,16,8,15,3
"218",1999,"JAX",16,"REG","TEN",14,41,"away",0,-27,20,7,16,8,15,16
"219",1999,"JAX",11,"REG","NO",41,23,"home",1,18,20,7,16,8,15,11
"220",1999,"JAX",9,"REG","ATL",30,7,"away",1,23,20,7,16,8,15,9
"221",1999,"JAX",8,"REG","CIN",41,10,"away",1,31,20,7,16,8,15,8
"222",1999,"JAX",15,"REG","CLE",24,14,"away",1,10,20,7,16,8,15,15
"223",1999,"KC",11,"REG","SEA",19,31,"home",0,-12,17,6,16,7,16,11
"224",1999,"KC",15,"REG","PIT",35,19,"home",1,16,17,6,16,7,16,15
"225",1999,"KC",4,"REG","LAC",14,21,"away",0,-7,17,6,16,7,16,4
"226",1999,"KC",1,"REG","CHI",17,20,"away",0,-3,17,6,16,7,16,1
"227",1999,"KC",13,"REG","DEN",16,10,"away",1,6,17,6,16,7,16,13
"228",1999,"KC",16,"REG","SEA",14,23,"away",0,-9,17,6,16,7,16,16
"229",1999,"KC",8,"REG","LAC",34,0,"home",1,34,17,6,16,7,16,8
"230",1999,"KC",7,"REG","BAL",35,8,"away",1,27,17,6,16,7,16,7
"231",1999,"KC",17,"REG","LV",38,41,"home",0,-3,17,6,16,7,16,17
"232",1999,"KC",9,"REG","IND",17,25,"away",0,-8,17,6,16,7,16,9
"233",1999,"KC",10,"REG","TB",10,17,"away",0,-7,17,6,16,7,16,10
"234",1999,"KC",3,"REG","DET",31,21,"home",1,10,17,6,16,7,16,3
"235",1999,"KC",14,"REG","MIN",31,28,"home",1,3,17,6,16,7,16,14
"236",1999,"KC",12,"REG","LV",37,34,"away",1,3,17,6,16,7,16,12
"237",1999,"KC",2,"REG","DEN",26,10,"home",1,16,17,6,16,7,16,2
"238",1999,"KC",5,"REG","NE",16,14,"home",1,2,17,6,16,7,16,5
"239",1999,"LA",5,"REG","SF",42,20,"home",1,22,21,2,16,3,17,5
"240",1999,"LA",5,"REG","SF",42,20,"home",1,22,21,1,16,2,17,5
"241",1999,"LA",3,"REG","ATL",35,7,"home",1,28,21,2,16,3,17,3
"242",1999,"LA",3,"REG","ATL",35,7,"home",1,28,21,1,16,2,17,3
"243",1999,"LA",15,"REG","NYG",31,10,"home",1,21,21,2,16,3,17,15
"244",1999,"LA",15,"REG","NYG",31,10,"home",1,21,21,1,16,2,17,15
"245",1999,"LA",14,"REG","NO",30,14,"away",1,16,21,2,16,3,17,14
"246",1999,"LA",14,"REG","NO",30,14,"away",1,16,21,1,16,2,17,14
"247",1999,"LA",16,"REG","CHI",34,12,"home",1,22,21,2,16,3,17,16
"248",1999,"LA",16,"REG","CHI",34,12,"home",1,22,21,1,16,2,17,16
"249",1999,"LA",7,"REG","CLE",34,3,"home",1,31,21,2,16,3,17,7
"250",1999,"LA",7,"REG","CLE",34,3,"home",1,31,21,1,16,2,17,7
"251",1999,"LA",4,"REG","CIN",38,10,"away",1,28,21,2,16,3,17,4
"252",1999,"LA",4,"REG","CIN",38,10,"away",1,28,21,1,16,2,17,4
"253",1999,"LA",10,"REG","CAR",35,10,"home",1,25,21,2,16,3,17,10
"254",1999,"LA",10,"REG","CAR",35,10,"home",1,25,21,1,16,2,17,10
"255",1999,"LA",12,"REG","NO",43,12,"home",1,31,21,2,16,3,17,12
"256",1999,"LA",12,"REG","NO",43,12,"home",1,31,21,1,16,2,17,12
"257",1999,"LA",13,"REG","CAR",34,21,"away",1,13,21,2,16,3,17,13
"258",1999,"LA",13,"REG","CAR",34,21,"away",1,13,21,1,16,2,17,13
"259",1999,"LA",11,"REG","SF",23,7,"away",1,16,21,2,16,3,17,11
"260",1999,"LA",11,"REG","SF",23,7,"away",1,16,21,1,16,2,17,11
"261",1999,"LA",6,"REG","ATL",41,13,"away",1,28,21,2,16,3,17,6
"262",1999,"LA",6,"REG","ATL",41,13,"away",1,28,21,1,16,2,17,6
"263",1999,"LA",9,"REG","DET",27,31,"away",0,-4,21,2,16,3,17,9
"264",1999,"LA",9,"REG","DET",27,31,"away",0,-4,21,1,16,2,17,9
"265",1999,"LA",8,"REG","TEN",21,24,"away",0,-3,21,2,16,3,17,8
"266",1999,"LA",8,"REG","TEN",21,24,"away",0,-3,21,1,16,2,17,8
"267",1999,"LA",17,"REG","PHI",31,38,"away",0,-7,21,2,16,3,17,17
"268",1999,"LA",17,"REG","PHI",31,38,"away",0,-7,21,1,16,2,17,17
"269",1999,"LAC",6,"REG","SEA",13,10,"home",1,3,17,1,16,2,18,6
"270",1999,"LAC",17,"REG","DEN",12,6,"away",1,6,17,1,16,2,18,17
"271",1999,"LAC",4,"REG","KC",21,14,"home",1,7,17,1,16,2,18,4
"272",1999,"LAC",16,"REG","LV",23,20,"home",1,3,17,1,16,2,18,16
"273",1999,"LAC",5,"REG","DET",20,10,"away",1,10,17,1,16,2,18,5
